[description:"Microbreak" due:"1412146800" entry:"1412187307" mask:"XX-----------------------------------------------" modified:"1416208179" recur:"daily" status:"recurring" uuid:"79108e87-32bc-4c2e-a7ee-52c2fa49952f"]
[description:"Kale" due:"1412146800" entry:"1412187318" mask:"XX-----------------------------------------------" modified:"1416208179" recur:"daily" status:"recurring" uuid:"8cd2dd71-559a-4038-8af9-27baa3ec39c3"]
[description:"Salad" due:"1412146800" entry:"1412187326" mask:"XX-----------------------------------------------" modified:"1416208179" recur:"daily" status:"recurring" uuid:"9103adaa-ab3d-41b9-8819-1787c339f146"]
[description:"Vacuum" due:"1412492400" entry:"1412187370" mask:"--------" modified:"1416208179" recur:"weekly" status:"recurring" uuid:"053a60ac-280a-46ef-8693-8710f7e044ba"]
[description:"Vacuum" due:"1412492400" entry:"1412187372" imask:"0" parent:"053a60ac-280a-46ef-8693-8710f7e044ba" recur:"weekly" status:"pending" uuid:"0ef134c9-c93d-4596-9628-97cbcf8244a0"]
[description:"Microbreak" due:"1412319600" entry:"1412354244" imask:"2" modified:"1412187309" parent:"79108e87-32bc-4c2e-a7ee-52c2fa49952f" recur:"daily" status:"pending" uuid:"5c0d7713-89c6-471c-bcc5-0133dbb44416"]
[description:"Microbreak" due:"1412406000" entry:"1412354244" imask:"3" modified:"1412187309" parent:"79108e87-32bc-4c2e-a7ee-52c2fa49952f" recur:"daily" status:"pending" uuid:"8835add5-7410-4a8b-9f63-6d611bd721fc"]
[description:"Kale" due:"1412319600" entry:"1412354244" imask:"2" modified:"1412187372" parent:"8cd2dd71-559a-4038-8af9-27baa3ec39c3" recur:"daily" status:"pending" uuid:"9e028f55-056d-4bfa-b1c4-8e587f79f61c"]
[description:"Kale" due:"1412406000" entry:"1412354244" imask:"3" modified:"1412187372" parent:"8cd2dd71-559a-4038-8af9-27baa3ec39c3" recur:"daily" status:"pending" uuid:"6dbfa490-ec93-4a35-9d83-9c439c8664ee"]
[description:"Salad" due:"1412319600" entry:"1412354244" imask:"2" modified:"1412187372" parent:"9103adaa-ab3d-41b9-8819-1787c339f146" recur:"daily" status:"pending" uuid:"16962c2a-0152-4e4c-8ef8-3b913d041989"]
[description:"Salad" due:"1412406000" entry:"1412354244" imask:"3" modified:"1412187372" parent:"9103adaa-ab3d-41b9-8819-1787c339f146" recur:"daily" status:"pending" uuid:"38c83b6e-7e55-4e00-9e0c-10b9bd5cd080"]
[description:"Microbreak" due:"1412492400" entry:"1416208179" imask:"4" modified:"1412354327" parent:"79108e87-32bc-4c2e-a7ee-52c2fa49952f" recur:"daily" status:"pending" uuid:"8c6690d2-e42b-4ce8-a8ac-1bfcdef86102"]
[description:"Microbreak" due:"1412578800" entry:"1416208179" imask:"5" modified:"1412354327" parent:"79108e87-32bc-4c2e-a7ee-52c2fa49952f" recur:"daily" status:"pending" uuid:"7114d699-a2d7-467c-a0ba-f1ef7912f955"]
[description:"Microbreak" due:"1412665200" entry:"1416208179" imask:"6" modified:"1412354327" parent:"79108e87-32bc-4c2e-a7ee-52c2fa49952f" recur:"daily" status:"pending" uuid:"6eebe7f9-41d7-4c9c-88d8-e7c774cda35e"]
[description:"Microbreak" due:"1412751600" entry:"1416208179" imask:"7" modified:"1412354327" parent:"79108e87-32bc-4c2e-a7ee-52c2fa49952f" recur:"daily" status:"pending" uuid:"04d83c54-257c-47e4-a2b9-febdb29fe210"]
[description:"Microbreak" due:"1412838000" entry:"1416208179" imask:"8" modified:"1412354327" parent:"79108e87-32bc-4c2e-a7ee-52c2fa49952f" recur:"daily" status:"pending" uuid:"fc96b3c8-e37b-4b2a-81cf-949f0ba65931"]
[description:"Microbreak" due:"1412924400" entry:"1416208179" imask:"9" modified:"1412354327" parent:"79108e87-32bc-4c2e-a7ee-52c2fa49952f" recur:"daily" status:"pending" uuid:"180554c5-b892-4e4f-8f33-6b1eae6b00ed"]
[description:"Microbreak" due:"1413010800" entry:"1416208179" imask:"10" modified:"1412354327" parent:"79108e87-32bc-4c2e-a7ee-52c2fa49952f" recur:"daily" status:"pending" uuid:"4f788c9d-eacf-4e66-b783-9e4f9be8062c"]
[description:"Microbreak" due:"1413097200" entry:"1416208179" imask:"11" modified:"1412354327" parent:"79108e87-32bc-4c2e-a7ee-52c2fa49952f" recur:"daily" status:"pending" uuid:"8d49569f-4c67-469e-a9d8-763334b67914"]
[description:"Microbreak" due:"1413183600" entry:"1416208179" imask:"12" modified:"1412354327" parent:"79108e87-32bc-4c2e-a7ee-52c2fa49952f" recur:"daily" status:"pending" uuid:"79a5ca93-7771-496c-8be7-b204f611485c"]
[description:"Microbreak" due:"1413270000" entry:"1416208179" imask:"13" modified:"1412354327" parent:"79108e87-32bc-4c2e-a7ee-52c2fa49952f" recur:"daily" status:"pending" uuid:"b74736e3-51c8-4b5c-9835-3a88dbf108c5"]
[description:"Microbreak" due:"1413356400" entry:"1416208179" imask:"14" modified:"1412354327" parent:"79108e87-32bc-4c2e-a7ee-52c2fa49952f" recur:"daily" status:"pending" uuid:"232f07a8-e1e5-459e-942d-1c6d6c9a8808"]
[description:"Microbreak" due:"1413442800" entry:"1416208179" imask:"15" modified:"1412354327" parent:"79108e87-32bc-4c2e-a7ee-52c2fa49952f" recur:"daily" status:"pending" uuid:"3f3642b0-5d68-4785-aad3-7b1bf50998b1"]
[description:"Microbreak" due:"1413529200" entry:"1416208179" imask:"16" modified:"1412354327" parent:"79108e87-32bc-4c2e-a7ee-52c2fa49952f" recur:"daily" status:"pending" uuid:"bcb83f59-a944-41ac-af78-78c563b1bba2"]
[description:"Microbreak" due:"1413615600" entry:"1416208179" imask:"17" modified:"1412354327" parent:"79108e87-32bc-4c2e-a7ee-52c2fa49952f" recur:"daily" status:"pending" uuid:"679fcbdf-6299-48fd-83e5-c3f4a49d77ee"]
[description:"Microbreak" due:"1413702000" entry:"1416208179" imask:"18" modified:"1412354327" parent:"79108e87-32bc-4c2e-a7ee-52c2fa49952f" recur:"daily" status:"pending" uuid:"5eb79980-9f03-4134-a658-d65750db0849"]
[description:"Microbreak" due:"1413788400" entry:"1416208179" imask:"19" modified:"1412354327" parent:"79108e87-32bc-4c2e-a7ee-52c2fa49952f" recur:"daily" status:"pending" uuid:"c20a4b68-795e-4045-9cff-532977765065"]
[description:"Microbreak" due:"1413874800" entry:"1416208179" imask:"20" modified:"1412354327" parent:"79108e87-32bc-4c2e-a7ee-52c2fa49952f" recur:"daily" status:"pending" uuid:"e94c8cbb-5b72-4dc5-ac4e-3b0dbaa736b5"]
[description:"Microbreak" due:"1413961200" entry:"1416208179" imask:"21" modified:"1412354327" parent:"79108e87-32bc-4c2e-a7ee-52c2fa49952f" recur:"daily" status:"pending" uuid:"106fdb15-c4f0-4d9f-921b-176514dad602"]
[description:"Microbreak" due:"1414047600" entry:"1416208179" imask:"22" modified:"1412354327" parent:"79108e87-32bc-4c2e-a7ee-52c2fa49952f" recur:"daily" status:"pending" uuid:"b015b843-8151-4e63-ab30-33fa77e37ae5"]
[description:"Microbreak" due:"1414134000" entry:"1416208179" imask:"23" modified:"1412354327" parent:"79108e87-32bc-4c2e-a7ee-52c2fa49952f" recur:"daily" status:"pending" uuid:"a0e20246-5761-485f-b3ca-0917d6a15842"]
[description:"Microbreak" due:"1414220400" entry:"1416208179" imask:"24" modified:"1412354327" parent:"79108e87-32bc-4c2e-a7ee-52c2fa49952f" recur:"daily" status:"pending" uuid:"e9f9bb3c-559e-4470-be43-870a96b13873"]
[description:"Microbreak" due:"1414306800" entry:"1416208179" imask:"25" modified:"1412354327" parent:"79108e87-32bc-4c2e-a7ee-52c2fa49952f" recur:"daily" status:"pending" uuid:"2f5c44d9-41a5-4080-8b8b-ecd73425194f"]
[description:"Microbreak" due:"1414393200" entry:"1416208179" imask:"26" modified:"1412354327" parent:"79108e87-32bc-4c2e-a7ee-52c2fa49952f" recur:"daily" status:"pending" uuid:"e7f12a91-ddd5-4a22-9e09-32457c8162b9"]
[description:"Microbreak" due:"1414479600" entry:"1416208179" imask:"27" modified:"1412354327" parent:"79108e87-32bc-4c2e-a7ee-52c2fa49952f" recur:"daily" status:"pending" uuid:"9b3273a9-0dd0-4d02-9f82-fdfae4948735"]
[description:"Microbreak" due:"1414566000" entry:"1416208179" imask:"28" modified:"1412354327" parent:"79108e87-32bc-4c2e-a7ee-52c2fa49952f" recur:"daily" status:"pending" uuid:"ce1a4a42-1e7e-4985-8d3f-9eaee48e5f24"]
[description:"Microbreak" due:"1414652400" entry:"1416208179" imask:"29" modified:"1412354327" parent:"79108e87-32bc-4c2e-a7ee-52c2fa49952f" recur:"daily" status:"pending" uuid:"09f3a214-7a76-4ddb-b1ce-9aeb5d8702ef"]
